ds,dep_var,trend,tv,fb,intercept,depVarHat,solID
2021-03-16,12158866,19876543.6115157,262742.358483342,450443.510918913,-8542092.45468895,12047637.026229,1_369_2
2021-03-17,11968373,19876246.9368079,346226.582494512,321311.730815708,-8542092.45468895,12001692.7954292,1_369_2
2021-03-18,12279425,19875950.2621001,497654.188985321,422927.75966309,-8542092.45468895,12254439.7560595,1_369_2
2021-03-19,12040568,19875653.5873922,197583.820150159,435156.906317856,-8542092.45468895,11966301.8591713,1_369_2
2021-03-20,11754737,19875356.9126844,54739.0974960384,376772.742418424,-8542092.45468895,11764776.2979099,1_369_2
2021-03-21,11958562,19875060.2379766,379228.990492532,467327.22675751,-8542092.45468895,12179524.0005377,1_369_2
2021-03-22,11832692,19874763.5632688,429704.187534993,266995.143294556,-8542092.45468895,12029370.4394094,1_369_2
2021-03-23,11960377,19874466.8885609,263006.72443542,462248.249544274,-8542092.45468895,12057629.4078517,1_369_2
2021-03-24,11711790,19874170.2138531,376482.627680327,202389.864907287,-8542092.45468895,11910950.2517518,1_369_2
2021-03-25,11861192,19873873.5391453,425433.279520435,250940.809122849,-8542092.45468895,12008155.1730996,1_369_2
2021-03-26,11764167,19873576.8644374,204233.52260698,323044.792745983,-8542092.45468895,11858762.7251015,1_369_2
2021-03-27,12059918,19873280.1897296,455438.591382805,411364.084219237,-8542092.45468895,12197990.4106427,1_369_2
2021-03-28,12240381,19872983.5150218,477529.052215712,451657.417318651,-8542092.45468895,12260077.5298672,1_369_2
2021-03-29,12134068,19872686.840314,475122.90002175,292910.842286379,-8542092.45468895,12098628.1279331,1_369_2
2021-03-30,12153183,19872390.1656061,441085.531084443,269670.578982314,-8542092.45468895,12041053.8209839,1_369_2
2021-03-31,12127419,19872093.4908983,250561.743306478,403767.410455829,-8542092.45468895,11984330.1899717,1_369_2
2021-04-01,12009490,19871796.8161905,280420.803033286,385711.607181545,-8542092.45468895,11995836.7717164,1_369_2
2021-04-02,12182088,19871500.1414826,458641.613281003,414131.950307843,-8542092.45468895,12202181.2503825,1_369_2
2021-04-03,11918005,19871203.4667748,300759.707000413,283201.993668725,-8542092.45468895,11913072.712755,1_369_2
2021-04-04,12070851,19870906.792067,488894.568120621,242643.871769881,-8542092.45468895,12060352.7772685,1_369_2
2021-04-05,12271320,19870610.1173592,479957.360190486,351839.895119496,-8542092.45468895,12160314.9179802,1_369_2
2021-04-06,12248952,19870313.4426513,493995.057355972,228101.76536932,-8542092.45468895,12050317.8106877,1_369_2
2021-04-07,12444569,19870016.7679435,415102.308835718,465089.079276606,-8542092.45468895,12208115.7013669,1_369_2
2021-04-08,12093679,19869720.0932357,408368.065599736,201986.303742797,-8542092.45468895,11937982.0078893,1_369_2
2021-04-09,12063347,19869423.4185278,256544.014857784,337870.183651764,-8542092.45468895,11921745.1623485,1_369_2
2021-04-10,12080374,19869126.74382,478217.457167024,212124.97799716,-8542092.45468895,12017376.7242953,1_369_2
2021-04-11,12280023,19868830.0691122,416956.158058531,400267.731639387,-8542092.45468895,12143961.5041212,1_369_2
2021-04-12,12083087,19868533.3944044,279987.44789782,362929.365813155,-8542092.45468895,11969357.7534264,1_369_2
2021-04-13,12076667,19868236.7196965,302331.138092921,431797.500079455,-8542092.45468895,12060272.90318,1_369_2
2021-04-14,12269486,19867940.0449887,500470.198042311,403243.275426865,-8542092.45468895,12229561.0637689,1_369_2
2021-04-15,12357736,19867643.3702809,473801.096545889,436386.240069349,-8542092.45468895,12235738.2522072,1_369_2
2021-04-16,11876023,19867346.6955731,238557.380443545,212633.503563916,-8542092.45468895,11776445.1248916,1_369_2
2021-04-17,12130322,19867050.0208652,481374.96035752,280507.395575218,-8542092.45468895,12086839.922109,1_369_2
2021-04-18,12072955,19866753.3461574,400437.95860707,269806.83437251,-8542092.45468895,11994905.684448,1_369_2
2021-04-19,11917326,19866456.6714496,298973.364878089,241181.368741896,-8542092.45468895,11864518.9503806,1_369_2
2021-04-20,12278708,19866159.9967417,476230.913959232,412113.170030319,-8542092.45468895,12212411.6260423,1_369_2
2021-04-21,11946155,19865863.3220339,328471.974792358,245002.716270695,-8542092.45468895,11897245.558408,1_369_2
2021-04-22,11726507,19865566.6473261,116655.032293445,238896.205280037,-8542092.45468895,11679025.4302106,1_369_2
2021-04-23,11806003,19865269.9726183,112204.341128887,432297.12153609,-8542092.45468895,11867678.9805943,1_369_2
2021-04-24,11888204,19864973.2979104,334959.305885032,455534.704751455,-8542092.45468895,12113374.853858,1_369_2
2021-04-25,11483679,19864676.6232026,166518.853889016,231790.785265661,-8542092.45468895,11720893.8076683,1_369_2
2021-04-26,11836510,19864379.9484948,454914.575543741,346991.460599558,-8542092.45468895,12124193.5299491,1_369_2
2021-04-27,12044483,19864083.2737869,399025.219011313,480751.465130847,-8542092.45468895,12201767.5032402,1_369_2
2021-04-28,11697913,19863786.5990791,374832.327194155,189444.701475009,-8542092.45468895,11885971.1730593,1_369_2
2021-04-29,12149287,19863489.9243713,474027.676326938,427755.686571899,-8542092.45468895,12223180.8325812,1_369_2
2021-04-30,12387882,19863193.2496635,504486.035787578,481818.370808694,-8542092.45468895,12307405.2015708,1_369_2
2021-05-01,12225347,19862896.5749556,352959.186187539,459930.955220007,-8542092.45468895,12133694.2616742,1_369_2
2021-05-02,12008490,19862599.9002478,143840.880589545,451936.26151739,-8542092.45468895,11916284.5876658,1_369_2
2021-05-03,11850813,19862303.22554,421937.969759249,192291.040613527,-8542092.45468895,11934439.7812238,1_369_2
2021-05-04,12279587,19862006.5508321,488471.790866246,412855.0075028,-8542092.45468895,12221240.8945122,1_369_2
2021-05-05,11943441,19861709.8761243,329694.385669758,232559.445186338,-8542092.45468895,11881871.2522915,1_369_2
2021-05-06,12218455,19861413.2014165,478509.246407625,325037.061412642,-8542092.45468895,12122867.0545478,1_369_2
2021-05-07,12022267,19861116.5267087,390672.389069718,218040.198898297,-8542092.45468895,11927736.6599877,1_369_2
2021-05-08,12027522,19860819.8520008,242788.734010228,374424.330432191,-8542092.45468895,11935940.4617543,1_369_2
2021-05-09,11887270,19860523.177293,162758.927509424,396531.507377618,-8542092.45468895,11877721.1574911,1_369_2
2021-05-10,11617531,19860226.5025852,257073.26722294,211672.020357721,-8542092.45468895,11786879.3354769,1_369_2
2021-05-11,11752803,19859929.8278774,338324.696104752,319161.462187292,-8542092.45468895,11975323.5314805,1_369_2
2021-05-12,12123123,19859633.1531695,491827.677251955,436746.630654861,-8542092.45468895,12246115.0063874,1_369_2
2021-05-13,12123442,19859336.4784617,499540.103390547,285942.103987194,-8542092.45468895,12102726.2311505,1_369_2
2021-05-14,12467147,19859039.8037539,512990.198100955,459925.346412609,-8542092.45468895,12289862.8935785,1_369_2
2021-05-15,12236311,19858743.129046,430008.041218943,311668.368879662,-8542092.45468895,12058327.0844557,1_369_2
2021-05-16,12106850,19858446.4543382,178118.399666767,407966.300445517,-8542092.45468895,11902438.6997616,1_369_2
2021-05-17,12006782,19858149.7796304,322527.64697089,364742.456706583,-8542092.45468895,12003327.4286189,1_369_2
2021-05-18,11935427,19857853.1049226,389846.5168417,269626.371862926,-8542092.45468895,11975233.5389382,1_369_2
2021-05-19,11963886,19857556.4302147,217118.897314115,426073.93981182,-8542092.45468895,11958656.8126517,1_369_2
2021-05-20,11712001,19857259.7555069,117850.238580571,337103.09420836,-8542092.45468895,11770120.6336069,1_369_2
2021-05-21,11494352,19856963.0807991,84846.091368077,252663.454605917,-8542092.45468895,11652380.1720841,1_369_2
2021-05-22,11992874,19856666.4060912,483451.890499232,434565.992322668,-8542092.45468895,12232591.8342242,1_369_2
2021-05-23,12098430,19856369.7313834,501754.812134478,379640.837680593,-8542092.45468895,12195672.9265095,1_369_2
2021-05-24,12102488,19856073.0566756,392107.602689526,424020.949049323,-8542092.45468895,12130109.1537255,1_369_2
2021-05-25,12021845,19855776.3819678,370209.536969935,383848.716088344,-8542092.45468895,12067742.1803371,1_369_2
2021-05-26,11910474,19855479.7072599,409763.488698448,240556.366049255,-8542092.45468895,11963707.1073187,1_369_2
2021-05-27,12377472,19855183.0325521,496999.202912958,475586.740729957,-8542092.45468895,12285676.5215061,1_369_2
2021-05-28,12204473,19854886.3578443,366547.105892707,418303.413734574,-8542092.45468895,12097644.4227826,1_369_2
2021-05-29,12347330,19854589.6831365,505005.154867766,380684.761261415,-8542092.45468895,12198187.1445767,1_369_2
2021-05-30,12194613,19854293.0084286,348016.137838041,355521.830193428,-8542092.45468895,12015738.5217711,1_369_2
2021-05-31,12276730,19853996.3337208,382967.340111471,433424.620099471,-8542092.45468895,12128295.8392428,1_369_2
2021-06-01,12143669,19853699.659013,188681.483936654,482245.904220246,-8542092.45468895,11982534.5924809,1_369_2
2021-06-02,11922702,19853402.9843051,306947.88299885,348486.880543582,-8542092.45468895,11966745.2931586,1_369_2
2021-06-03,12295451,19853106.3095973,500018.781518416,477515.906533243,-8542092.45468895,12288548.54296,1_369_2
2021-06-04,12137519,19852809.6348895,515678.334226552,200718.877447428,-8542092.45468895,12027114.3918745,1_369_2
2021-06-05,12399938,19852512.9601817,430051.22566682,453753.844462084,-8542092.45468895,12194225.5756216,1_369_2
2021-06-06,12032360,19852216.2854738,336589.060717977,242050.308474523,-8542092.45468895,11888763.1999774,1_369_2
2021-06-07,12083707,19851919.610766,249096.26696788,429283.9585473,-8542092.45468895,11988207.3815922,1_369_2
2021-06-08,12286156,19851622.9360582,470194.663332678,457980.161862814,-8542092.45468895,12237705.3065647,1_369_2
2021-06-09,11974959,19851326.2613503,276355.998353956,350159.346012861,-8542092.45468895,11935749.1510282,1_369_2
2021-06-10,12296454,19851029.5866425,497126.224895353,431036.647716627,-8542092.45468895,12237100.0045655,1_369_2
2021-06-11,12236940,19850732.9119347,419160.837467697,403424.79849761,-8542092.45468895,12131226.093211,1_369_2
2021-06-12,12132715,19850436.2372269,346614.006321005,370800.696601464,-8542092.45468895,12025758.4854604,1_369_2
2021-06-13,12079348,19850139.562519,300925.819395847,405530.940983246,-8542092.45468895,12014503.8682092,1_369_2
2021-06-14,11817013,19849842.8878112,247598.819044612,290967.581962049,-8542092.45468895,11846316.8341289,1_369_2
2021-06-15,12083016,19849546.2131034,435051.396815965,425019.356154355,-8542092.45468895,12167524.5113847,1_369_2
2021-06-16,11939785,19849249.5383955,402320.778273888,287275.166572218,-8542092.45468895,11996753.0285527,1_369_2
2021-06-17,12092808,19848952.8636877,345807.1285879,453610.485692211,-8542092.45468895,12106278.0232789,1_369_2
2021-06-18,11988338,19848656.1889799,265130.800065248,446720.1402293,-8542092.45468895,12018414.6745855,1_369_2
2021-06-19,11815943,19848359.5142721,122038.490422534,452969.485025647,-8542092.45468895,11881275.0350313,1_369_2
2021-06-20,11914285,19848062.8395642,449899.572621255,350304.155465428,-8542092.45468895,12106174.112962,1_369_2
2021-06-21,12107036,19847766.1648564,503745.365943522,354076.418456151,-8542092.45468895,12163495.4945671,1_369_2
2021-06-22,11755923,19847469.4901486,200047.110336135,241227.430414177,-8542092.45468895,11746651.5762099,1_369_2
2021-06-23,11690251,19847172.8154408,314002.990606576,187829.251214168,-8542092.45468895,11806912.6025725,1_369_2
2021-06-24,11673275,19846876.1407329,315468.666388587,189785.761003489,-8542092.45468895,11810038.1134361,1_369_2
2021-06-25,12095674,19846579.4660251,407218.770640392,478998.570878475,-8542092.45468895,12190704.352855,1_369_2
2021-06-26,11792019,19846282.7913173,312430.053545925,290605.794152008,-8542092.45468895,11907226.1843263,1_369_2
2021-06-27,12015737,19845986.1166094,390307.833246238,432746.880246312,-8542092.45468895,12126948.375413,1_369_2
2021-06-28,12027898,19845689.4419016,450045.891788127,341024.037258527,-8542092.45468895,12094666.9162593,1_369_2
2021-06-29,11860819,19845392.7671938,351579.145530168,231223.031339381,-8542092.45468895,11886102.4893744,1_369_2
2021-06-30,11735097,19845096.092486,217718.209788524,228783.912920146,-8542092.45468895,11749505.7605057,1_369_2
2021-07-01,12070676,19844799.4177781,382075.56815149,479308.895556048,-8542092.45468895,12164091.4267967,1_369_2
2021-07-02,12141599,19844502.7430703,486204.794734134,404632.959542484,-8542092.45468895,12193248.042658,1_369_2
2021-07-03,12077409,19844206.0683625,460985.103792039,262415.839706477,-8542092.45468895,12025514.557172,1_369_2
2021-07-04,11879223,19843909.3936546,281346.908028414,220353.984602726,-8542092.45468895,11803517.8315968,1_369_2
2021-07-05,12092126,19843612.7189468,289286.86660291,471363.237481934,-8542092.45468895,12062170.3683427,1_369_2
2021-07-06,11881538,19843316.044239,210176.633521593,413641.687211242,-8542092.45468895,11925041.9102829,1_369_2
2021-07-07,12200135,19843019.3695312,485207.689436375,471690.565819979,-8542092.45468895,12257825.1700986,1_369_2
2021-07-08,12408756,19842722.6948233,525773.429264942,472045.446209406,-8542092.45468895,12298449.1156087,1_369_2
2021-07-09,12068428,19842426.0201155,360606.307660841,294584.703923413,-8542092.45468895,11955524.5770108,1_369_2
2021-07-10,12127396,19842129.3454077,333805.966589301,403110.644085916,-8542092.45468895,12036953.5013939,1_369_2
2021-07-11,11986633,19841832.6706998,428403.818349112,208847.727614762,-8542092.45468895,11936991.7619748,1_369_2
2021-07-12,12002363,19841535.995992,320767.56639983,314820.120687787,-8542092.45468895,11935031.2283907,1_369_2
2021-07-13,11820512,19841239.3212842,297806.772939297,237933.744364819,-8542092.45468895,11834887.3838994,1_369_2
2021-07-14,11985398,19840942.6465764,359158.301286754,387203.023207968,-8542092.45468895,12045211.5163821,1_369_2
2021-07-15,11970213,19840645.9718685,485983.563767166,200529.840294616,-8542092.45468895,11985066.9212414,1_369_2
2021-07-16,12189189,19840349.2971607,521459.07045484,216386.066385488,-8542092.45468895,12036101.9793121,1_369_2
2021-07-17,12004608,19840052.6224529,287310.341434454,229303.103912635,-8542092.45468895,11814573.613111,1_369_2
2021-07-18,11992854,19839755.9477451,345064.010195201,275411.218226311,-8542092.45468895,11918138.7214776,1_369_2
2021-07-19,11892701,19839459.2730372,393507.966277481,192847.0869203,-8542092.45468895,11883721.8715461,1_369_2
2021-07-20,12150606,19839162.5983294,442113.63420699,350633.555423357,-8542092.45468895,12089817.3332708,1_369_2
2021-07-21,12063361,19838865.9236216,177821.872896223,469270.264602868,-8542092.45468895,11943865.6064317,1_369_2
2021-07-22,11879575,19838569.2489137,102980.817623324,468831.994585829,-8542092.45468895,11868289.6064339,1_369_2
2021-07-23,11769393,19838272.5742059,388141.046901023,272356.218459573,-8542092.45468895,11956677.3848776,1_369_2
2021-07-24,12223420,19837975.8994981,513767.70811763,437560.789883704,-8542092.45468895,12247211.9428105,1_369_2
2021-07-25,11957010,19837679.2247903,366339.208069012,279082.211428921,-8542092.45468895,11941008.1895992,1_369_2
2021-07-26,11702435,19837382.5500824,170329.415723087,227318.999432601,-8542092.45468895,11692938.5105492,1_369_2
2021-07-27,11845433,19837085.8753746,153043.339268854,477912.803814563,-8542092.45468895,11925949.5637691,1_369_2
2021-07-28,11757151,19836789.2006668,412488.256908683,269970.637671316,-8542092.45468895,11977155.6405578,1_369_2
2021-07-29,11937404,19836492.5259589,449484.247775495,311362.502231101,-8542092.45468895,12055246.8212766,1_369_2
2021-07-30,11835067,19836195.8512511,146574.504583764,415937.907530534,-8542092.45468895,11856615.8086765,1_369_2
2021-07-31,11942541,19835899.1765433,403625.404482724,412564.871699683,-8542092.45468895,12109996.9980367,1_369_2
2021-08-01,12205227,19835602.5018355,500522.304585817,435045.811112795,-8542092.45468895,12229078.1628451,1_369_2
2021-08-02,12411443,19835305.8271276,506078.982288193,467039.537373713,-8542092.45468895,12266331.8921006,1_369_2
2021-08-03,12188771,19835009.1524198,382662.732618714,361888.513207646,-8542092.45468895,12037467.9435572,1_369_2
2021-08-04,12234870,19834712.477712,464312.609761985,333771.640937134,-8542092.45468895,12090704.2737221,1_369_2
2021-08-05,12357958,19834415.8030041,430910.571833815,438810.728790469,-8542092.45468895,12162044.6489395,1_369_2
2021-08-06,12373228,19834119.1282963,438713.08934688,424483.842030154,-8542092.45468895,12155223.6049844,1_369_2
2021-08-07,12553466,19833822.4535885,487181.923004818,478904.461587021,-8542092.45468895,12257816.3834914,1_369_2
2021-08-08,12473324,19833525.7788807,439064.62521449,446089.329050707,-8542092.45468895,12176587.2784569,1_369_2
2021-08-09,12324781,19833229.1041728,502133.03630507,221209.435094701,-8542092.45468895,12014479.1208837,1_369_2
2021-08-10,12237283,19832932.429465,354600.196611212,261822.569473193,-8542092.45468895,11907262.7408605,1_369_2
2021-08-11,12399224,19832635.7547572,434610.259812329,399270.044955758,-8542092.45468895,12124423.6048363,1_369_2
2021-08-12,12203097,19832339.0800494,232001.904663704,440913.97355105,-8542092.45468895,11963162.5035752,1_369_2
2021-08-13,12087279,19832042.4053415,268861.239328055,443708.754298296,-8542092.45468895,12002519.9442789,1_369_2
2021-08-14,11641812,19831745.7306337,90235.5348695055,228375.704634665,-8542092.45468895,11608264.5154489,1_369_2
2021-08-15,11953736,19831449.0559259,439012.131470963,353778.458574404,-8542092.45468895,12082147.1912823,1_369_2
2021-08-16,11972575,19831152.381218,448555.29702648,290172.540706775,-8542092.45468895,12027787.7642623,1_369_2
2021-08-17,12114627,19830855.7065102,441196.835889813,367249.17397644,-8542092.45468895,12097209.2616875,1_369_2
2021-08-18,11849427,19830559.0318024,168607.071248349,342091.240784955,-8542092.45468895,11799164.8891467,1_369_2
2021-08-19,11779473,19830262.3570946,224630.014609751,355603.061507152,-8542092.45468895,11868402.9785225,1_369_2
2021-08-20,11573027,19829965.6823867,146456.501403647,295121.542851366,-8542092.45468895,11729451.2719528,1_369_2
2021-08-21,11588361,19829669.0076789,207860.586082878,343938.947515164,-8542092.45468895,11839376.086588,1_369_2
2021-08-22,11462557,19829372.3329711,54644.8967513563,361152.569074856,-8542092.45468895,11703077.3441083,1_369_2
2021-08-23,11507873,19829075.6582632,287871.005898264,331208.726462851,-8542092.45468895,11906062.9359354,1_369_2
2021-08-24,11823719,19828778.9835554,480846.727773604,362524.508031056,-8542092.45468895,12130057.7646711,1_369_2
2021-08-25,11865639,19828482.3088476,264796.091424544,474426.094024652,-8542092.45468895,12025612.0396078,1_369_2
2021-08-26,11872060,19828185.6341398,396057.141493378,408731.267835692,-8542092.45468895,12090881.5887799,1_369_2
2021-08-27,11806744,19827888.9594319,248102.373033879,437575.503818608,-8542092.45468895,11971474.3815955,1_369_2
2021-08-28,11552259,19827592.2847241,220558.565271351,276042.346057188,-8542092.45468895,11782100.7413637,1_369_2
2021-08-29,11782692,19827295.6100163,471818.922835912,240193.53095904,-8542092.45468895,11997215.6091223,1_369_2
2021-08-30,11838691,19826998.9353084,273882.417040093,387689.886429097,-8542092.45468895,11946478.7840887,1_369_2
2021-08-31,11933553,19826702.2606006,502182.351859842,223139.327303922,-8542092.45468895,12009931.4850754,1_369_2
2021-09-01,12240009,19826405.5858928,430752.11666175,464376.750715938,-8542092.45468895,12179441.9985815,1_369_2
2021-09-02,12012561,19826108.911185,381245.705691192,282559.786463779,-8542092.45468895,11947821.948651,1_369_2
2021-09-03,12002944,19825812.2364771,136939.112325139,461129.5501365,-8542092.45468895,11881788.4442498,1_369_2
2021-09-04,11782302,19825515.5617693,135979.629214172,410941.717050839,-8542092.45468895,11830344.4533454,1_369_2
2021-09-05,11780232,19825218.8870615,388702.233956845,295431.847297262,-8542092.45468895,11967260.5136266,1_369_2
2021-09-06,11667878,19824922.2123536,133514.541531255,355414.998483931,-8542092.45468895,11771759.2976799,1_369_2
2021-09-07,11721006,19824625.5376458,366733.537764379,306882.148105345,-8542092.45468895,11956148.7688266,1_369_2
2021-09-08,11621543,19824328.862938,222231.977798212,295210.237158313,-8542092.45468895,11799678.6232056,1_369_2
2021-09-09,11716830,19824032.1882302,340855.562103104,349010.155281227,-8542092.45468895,11971805.4509256,1_369_2
2021-09-10,11767300,19823735.5135223,416110.189901978,278520.976818786,-8542092.45468895,11976274.2255542,1_369_2
2021-09-11,11858845,19823438.8388145,469074.884605826,232856.559917933,-8542092.45468895,11983277.8286493,1_369_2
2021-09-12,11981172,19823142.1641067,417265.917025248,319560.815384812,-8542092.45468895,12017876.4418278,1_369_2
2021-09-13,12163790,19822845.4893989,517707.208238924,281041.867192573,-8542092.45468895,12079502.1101414,1_369_2
2021-09-14,12245096,19822548.814691,462665.628709405,309745.587479169,-8542092.45468895,12052867.5761907,1_369_2
2021-09-15,12419078,19822252.1399832,416107.006949089,475146.696322208,-8542092.45468895,12171413.3885655,1_369_2
2021-09-16,12275792,19821955.4652754,450050.044118314,327741.592145392,-8542092.45468895,12057654.6468501,1_369_2
